nom,prenom,poste
Doe,John,Administrateur
Smith,Jane,Technicien
Johnson,Bob,Ingénieur
Williams,Emily,Analyste
Brown,Michael,Développeur
Davis,Lisa,Gestionnaire de projet
Taylor,Chris,Support technique
Anderson,Alice,Designer
Martin,James,Responsable des ventes
White,Susan,Analyste système
Clark,David,Ingénieur logiciel
Hall,Julia,Spécialiste en réseau
Lee,Kevin,Technicien de maintenance
Garcia,Maria,Analyste financier
Thomas,Brian,Technicien support
Jones,Christine,Spécialiste en base de données
Miller,Andrew,Chef de projet
Wilson,Olivia,Responsable marketing
Moore,Robert,Spécialiste en sécurité
King,Emma,Responsable des RH
Gonzalez,Luis,Analyste de données
Harris,Sophia,Développeur web
Carter,Jason,Architecte système
Fisher,Amelia,Spécialiste en cloud computing
Ward,Charlie,Analyste commercial
Baker,Grace,Technicien réseau
Barnes,Daniel,Ingénieur électricien
Wright,Victoria,Analyste QA
Cooper,Richard,Spécialiste en virtualisation
Allen,Oliver,Scrum Master
Hughes,Carol,Analyste marketing
Smith,William,Consultant ERP
Evans,Emma,Spécialiste en automatisation
Hill,Nathan,Ingénieur DevOps
Young,Sarah,Spécialiste en intelligence artificielle
Morgan,Alexander,Analyste CRM
Stewart,Isabel,Designer UX/UI
Roberts,Julie,Consultante en sécurité
Jackson,Paul,Administrateur système
Thompson,Rebecca,Coordonnatrice IT
Lopez,Anthony,Analyste de données
Wright,Isaac,Gestionnaire de réseau
Scott,Evelyn,Spécialiste UX
Adams,Natalie,Développeuse de logiciel
Perez,Ethan,Technicien informatique
Hall,Samantha,Directrice technique
Turner,Steven,Spécialiste en cybersécurité
Collins,Laura,Architecte logiciel
Mitchell,Pete,Directeur des opérations
